编号,性质,标题,受理单位,作者,时间,状态,评论/点击
[84589],[诉求],2020年居然还有路不能走？,市长信箱,大道通天,2020-01-11,已受理,0/975
[84581],[诉求],教师绩效拖欠,市长信箱,围观群众,2020-01-11,已回复,0/1990
[84504],[咨询],新兴四组的城中村房屋何时征收或城市规划在这里的定位,市长信箱,失落的石头,2020-01-09,已回复,1/1586
[84450],[举报],群众反映问题难！！！无良供电局,市长信箱,蚂蚁在地爬,2020-01-08,未回复,4/1237
[84091],[诉求],化粪池堵塞无人处理，污水横流两月余,市长信箱,617441492,2020-01-01,已回复,0/1135
[83937],[咨询],对（桂教职办【2019】29号）文件的疑问,市长信箱,山村农民,2019-12-29,已回复,0/1222
[83913],[举报],丰业花园每月流失1万多方水到底是什么问题？,市长信箱,yjx128,2019-12-29,已受理,0/1060
[83871],[诉求],2020年02月02日民政局可否安排结婚登记服务,市长信箱,一眼万年199330,2019-12-27,已回复,0/1030
[83836],[建议],关于洒水车，我有个问政不知当讲不当讲,市长信箱,chaos0411,2019-12-26,已回复,0/1137
[83821],[诉求],西江二路白云江景大厦附近的下水道井盖再次待盖好,市长信箱,山下人家,2019-12-26,已回复,1/945
[83649],[举报],梧州恒大山水城用非法手段欺骗多名群众购买车位,市长信箱,q258102788,2019-12-21,已受理,0/1159
[83443],[诉求],梧州市市场监管局公务车免费停车问题,市长信箱,258039034,2019-12-17,已回复,0/675
[83412],[举报],噪音扰民，环境污染,市长信箱,好好打,2019-12-16,已回复,0/702
[83396],[诉求],朗日花园小区3幢1802房侵占楼顶违建,市长信箱,热心肠的红领巾,2019-12-15,已回复,3/746
[83307],[诉求],《2018年两广旅游摄影大赛》是不是一个骗局,市长信箱,蔡世新,2019-12-13,已受理,0/1149
[83214],[举报],再次反映楼下饮食店油烟恶臭,市长信箱,yjx128,2019-12-12,已回复,0/606
[83205],[诉求],黄林元黄福元等九户仍然没有通电,市长信箱,hss,2019-12-12,已回复,0/768
[83200],[举报],消防隐患,市长信箱,summeryang,2019-12-11,已回复,0/462
[83162],[诉求],家门被堵，哭诉无门（第三次诉求）,市长信箱,守法人,2019-12-10,已回复,1/1147
[82926],[诉求],建龙房地产公司野蛮施工严重毁坏我们房屋6年不处理,市长信箱,敏敏敏,2019-12-02,已受理,1/1392
[82923],[诉求],关于榃神村建设高压线问题,市长信箱,hutu,2019-12-02,已回复,0/1564
[82771],[诉求],恳请市政府在207国道商贸学校人行道设置红绿灯,市长信箱,覃先生,2019-11-27,已受理,0/493
[82695],[举报],龙圩区龙湖西一路119停车位收费停车位被屋主非法强占,市长信箱,陈达英,2019-11-25,已受理,1/748
[82456],[其它],下三云路边检站附近有棵树的树干快被白蚁掏空了,市长信箱,小闹钟,2019-11-18,已回复,0/1271
[82250],[举报],龙园花园存在的各项问题是否合理、合法？,市长信箱,woniu,2019-11-14,已回复,0/1135
[82186],[诉求],关于盛世龙庭不动产证的办理,市长信箱,bnida,2019-11-12,已受理,2/718
[82001],[举报],岑溪中学高三年级校服强买强卖,市长信箱,金刀,2019-11-08,已受理,1/1186
[81885],[诉求],残疾人想考驾驶证,市长信箱,顶天立地,2019-11-05,已回复,1/750
[81878],[诉求],苍海湖征地，量先得先？,市长信箱,入戏太深,2019-11-05,已回复,0/904
[81846],[其它],居然没有人答复我的问题,市长信箱,永恒的流星,2019-11-04,已回复,0/1192
[81838],[举报],楼下饮食店油烟恶臭扰民,市长信箱,yjx128,2019-11-04,已回复,1/810
[81617],[诉求],梨埠镇蒌底村胡羡口大桥几时开工建设,市长信箱,和谐1号,2019-10-30,已回复,0/903
[81516],[举报],某午托食品问题,市长信箱,学生家长联盟,2019-10-27,已回复,0/660
[81506],[诉求],投诉烧鸭加工场油烟煤气恶臭味,市长信箱,朱生0,2019-10-27,已回复,2/1767
[81383],[诉求],为何房交所的合同流程走这么久？,市长信箱,小V,2019-10-23,已回复,1/1271
[81380],[诉求],蒙山交警这样合适吗？,市长信箱,蒙山人民100,2019-10-23,已回复,0/1201
[81356],[诉求],请安装上路灯灯具,市长信箱,lym5632,2019-10-22,已回复,0/691
[81328],[诉求],强烈要求三祺城营销体验中心后背工地围蔽起来,市长信箱,异木棉花@,2019-10-22,已受理,0/733
[81014],[诉求],整治高新区混乱交通，刻不容缓！！,市长信箱,清早晨曦,2019-10-15,已回复,0/1098
[80723],[诉求],外部制衡,市长信箱,lhrlgc,2019-10-09,已回复,0/4558
[80646],[诉求],西江二路4号楼太危险了有人管吗？,市长信箱,yjc108,2019-10-08,已回复,0/786
[80542],[咨询],疑问,市长信箱,梁泽斌,2019-10-05,已回复,0/412
[80404],[诉求],骑楼城小区入口乱停乱放,市长信箱,hzttp567890,2019-10-01,已回复,0/666
[80329],[举报],岑溪归义中学国庆强制补课无情补课,市长信箱,南笙,2019-09-30,已受理,1/2882
[79943],[举报],环保问题,市长信箱,梧州青山绿水,2019-09-29,已回复,0/1100
[79796],[诉求],请求处理物资总公司国企变私企问题(五),市长信箱,物资职工,2019-09-27,已回复,1/847
[79772],[诉求],梧藤公路灰尘漫天飞舞，出行群众脸身泥沙当衣裳,市长信箱,吴远明,2019-09-26,已回复,0/645
[79677],[诉求],冬湖路市安全局的围墙能否内退一点？,市长信箱,lizhiye,2019-09-24,已受理,0/773
[79623],[咨询],石桥镇至蒌底村,路桥/生活垃圾问题,市长信箱,和谐1号,2019-09-23,已回复
[79596],[举报],编号77478已超期不回复！！,市长信箱,说散就散,2019-09-23,已回复,0/1885
[79495],[建议],请问这是违章建筑吗？,市长信箱,acm999,2019-09-21,已受理,0/813
[79437],[诉求],求帮忙处理一下这个空调滴水的问题,市长信箱,kzykuang,2019-09-20,已回复,0/888
[79308],[诉求],政府机构工作方式粗暴，增加他人负担,市长信箱,chengfei,2019-09-17,已回复,0/1215
[79255],[举报],学院惠彤超市门口乱摆卖,市长信箱,kgdyga,2019-09-16,已回复,0/3927
[79237],[举报],蒙江镇政府违法在防洪堤建房,市长信箱,龙德全,2019-09-15,已回复,0/848
[79210],[诉求],化粪池堵塞无人处理，污水横流,市长信箱,617441492,2019-09-15,已回复,0/706
[79079],[举报],北部湾保险公司骗保拒赔猪险,市长信箱,石桥养殖户,2019-09-11,已受理,1/1873
[79010],[诉求],谁来保证民生？,市长信箱,务工者,2019-09-10,未回复,0/775
[78954],[诉求],7月11日问政编号76079为何到现在还不回复？,市长信箱,浩瀚水滴,2019-09-09,已回复,0/2453
[78793],[举报],岑溪市第六中学违法补课,市长信箱,声张正义,2019-09-06,已受理,0/772
[78771],[举报],福兴时代广场占用业主公摊面积加盖架蓬,市长信箱,半夜严重扰民,2019-09-06,已回复,0/5809
[78701],[诉求],岑溪市思湖路（市主要街道）审计局隔离不名建造构筑物,市长信箱,jackwood,2019-09-05,已受理,0/1221
[78630],[举报],岑溪一品尊府更改规划图纸结合村民占用消防通道违建房屋,市长信箱,吕荣,2019-09-03,已受理,1/1637
[78585],[诉求],龙圩区龙城路158号左右房屋未经重建审批违章违法建筑,市长信箱,yhn890211,2019-09-03,已回复,0/1113
[78523],[诉求],倒水镇政府征地侵犯村民的合法权益,市长信箱,liuhuoxin,2019-09-02,已回复,3/1227
[78503],[举报],房产测绘成果备案何时出台政策,市长信箱,容义发,2019-09-02,已回复,0/924
[78472],[举报],问政77486,玫瑰湖公园惊现死鱼,超期不答复,市长信箱,5632,2019-09-01
[78441],[诉求],藤县一中不合理的要求,市长信箱,烽火锦城,2019-08-31,已回复,0/674
[78271],[诉求],半闲居这样排放合规吗？,市长信箱,cba,2019-08-28,已回复,1/947
[78051],[举报],驾校教练的服务态度,市长信箱,路灯,2019-08-23,已回复,0/1389
[78036],[举报],市下三云路口一大排档扰民,市长信箱,行走的衣架,2019-08-23,已回复,3/1218
[78017],[诉求],冬湖路北段盼望有公交车穿行,市长信箱,lizhiye,2019-08-22,已回复,0/1215
[78006],[诉求],举头望明月，何时能修路,市长信箱,知乎初见,2019-08-22,已回复,0/1061
[77886],[举报],蓝天物业不作为，任凭垃圾和杂物堆放消防通道,市长信箱,cat1205,2019-08-19,已回复,0/1309
[77851],[诉求],电车停在小车车位视为违停，什么时候也给二轮车划车位/,市长信箱,谭鉴溪,2019-08-18,已回复,0/1201
[77810],[举报],请相关部门整顿大中路宵夜摊,市长信箱,小V,2019-08-18,已回复,1/887
[77568],[举报],三问公积金中心：公积金新政夕发朝改是否合理,市长信箱,jj8131857,2019-08-13,已回复,0/1818
[77485],[举报],烧烤档半夜还在猜码，何时还居民正常的休息,市长信箱,心烦,2019-08-12,已回复,0/1372
[77475],[诉求],在小区住宅内办个体经营店，合法吗？,市长信箱,pajgj2018,2019-08-12,已回复,1/1109
[77405],[咨询],政府什么时候卖平价猪肉？,市长信箱,wszy,2019-08-10,已回复,1/2704
[77210],[诉求],在富民街道办身上看不到为人民服务、民为本的影子,市长信箱,吏治清明,2019-08-06,已回复,0/1778
[77127],[诉求],编号75984问政于7月9日已受理，至今没有回复。,市长信箱,jsf,2019-08-05,已回复,0/5852
[77121],[诉求],给我一个家,市长信箱,ljchao02,2019-08-05,已回复,3/1620
[77110],[诉求],关于扶贫道路落实问题,市长信箱,一阶布衣1,2019-08-04,已回复,0/1314
[77065],[举报],梧州市富民加油站用现金加油被拒,市长信箱,小韦先生,2019-08-04,已受理,0/1777
[77017],[诉求],关于供公众使用的健身器材问题,市长信箱,chaos0411,2019-08-02,已回复,2/15529
[76964],[举报],举报莲花山市场监管执法大队,市长信箱,农月业,2019-08-01,已回复,1/1874
[76962],[诉求],精通豪庭施工现场养恶狗不栓绳威胁路人安全,市长信箱,麦婷婷,2019-08-01,已回复,0/1458
[76922],[举报],泥头车超载行驶乡村道路,市长信箱,xinshidai,2019-07-31,已回复,0/1601
[76904],[诉求],龙圩区法院40天不交付拍卖车辆,市长信箱,杨华986,2019-07-31,已回复,0/1584
[76850],[诉求],涉嫌霸王条款,市长信箱,lhrlgc,2019-07-30,已回复,2/1101
[76798],[诉求],投诉岑溪民政局信息工作人员态度不端正,市长信箱,梁爱涓,2019-07-29,已回复,1/1655
[76688],[诉求],收钱却不修路,市长信箱,木棉花@,2019-07-26,已回复,0/5887
[76579],[诉求],谁为驾校没有消费的部分买单,市长信箱,百姓身边无小事,2019-07-23,已回复,0/1302
[76566],[诉求],大中路修路不合理,市长信箱,小V,2019-07-23,已回复,0/1213
[76556],[诉求],房产测绘备案进度迟缓,市长信箱,无问东西,2019-07-23,已受理,1/1870
[76513],[诉求],小区内违停现象频发物业不管，如何处理？,市长信箱,热心肠的红领巾,2019-07-22,已回复,0/1421
[76495],[咨询],藤县新材料产业园,市长信箱,不会游水的鱼,2019-07-21,已回复,0/1908
[76468],[诉求],梨马二级公路与民宅距离过近的后果！,市长信箱,梁焯,2019-07-20,已回复,0/1193
[76245],[举报],藤县某部门可以使特权？,市长信箱,市民,2019-07-15,已回复,0/1705
[76146],[举报],举报藤县东荣镇佛燕公路豆腐渣工程,市长信箱,天上人间,2019-07-12,已回复,0/1102
[76128],[诉求],五保老人只能底保补助,市长信箱,罗炼炼,2019-07-12,已回复,1/1627
[76079],[举报],龙圩区月亮湖商务酒店将共用停车位占为私有！,市长信箱,浩瀚水滴,2019-07-11,已回复,0/1342
[76011],[举报],要求督察梧州市老年人体育协会组织99元游北海真实性,市长信箱,wenxiaowen,2019-07-10,已回复,0/1705
[75803],[诉求],小车乱停放阻碍道路交通,市长信箱,说散就散,2019-07-05,已回复,0/1902
[75656],[诉求],威蒂斯健身俱乐部（国龙店）刻意收集顾客指纹身份证信息,市长信箱,scarlett,2019-07-02,已回复,1/1112
[75552],[咨询],舜帝大道违建没有管的？,市长信箱,西江黄金水道,2019-06-30,已回复,1/1389
[75529],[建议],穿山甲保护,市长信箱,ldh009lw,2019-06-30,已回复,0/1283
[75511],[建议],红岭一号小区对出道路出现多处大坑,市长信箱,H2823143,2019-06-29,已回复,0/944
[75290],[诉求],关于石人冲小学周边道路及环境的改造,市长信箱,小梁同学,2019-06-25,已回复,0/1344
[75270],[诉求],拖欠公益岗位补贴,市长信箱,rsqt2,2019-06-25,已回复,2/1974
[75181],[诉求],已发现造假，申请公开紫荆花园2016选举的原始资料,市长信箱,吏治清明,2019-06-23,已回复,1/1248
[75147],[诉求],环境卫生,市长信箱,保健品,2019-06-22,已回复,0/801
[75112],[诉求],大塘市场路口倒水果子弟酸果店放养狗只不系绳带影响路人,市长信箱,scarlett,2019-06-21,已回复,0/1172
[75102],[举报],广西梧州市龙圩区新地镇派出所及办案区征地程序违规,市长信箱,利刃出鞘,2019-06-21,已回复,5/20253
[75081],[诉求],藤县和平一中不付我们的项目款,市长信箱,sanjieguanggao,2019-06-21,已回复,0/1011
[74951],[诉求],冰泉豆浆馆到白云堡小区路段违章停车问题,市长信箱,lsmiriam,2019-06-18,已回复,1/1590
[74878],[诉求],朗日花园小区内违建侵占行为屡禁不止,市长信箱,热心肠的红领巾,2019-06-17,已回复,1/1022
[74858],[举报],龙山路星郎名都星雅居小区非法违建,市长信箱,小正,2019-06-16,已回复,0/1457
[74823],[咨询],我们只想安全回家,市长信箱,wzyyx2008,2019-06-15,已回复,3/1282
[74814],[诉求],关于苍梧县石桥镇东掛村上仲组道路硬化及电网改造问题,市长信箱,深深的爱着你,2019-06-15,已回复,0/1339
[74682],[建议],梧州南站候车大厅太过拥挤,市长信箱,abc1122,2019-06-13,已回复,0/3818
[74675],[诉求],梧州市万秀区公安分局，居住证续签问题,市长信箱,莫永锦,2019-06-13,已回复,0/1270
[74669],[诉求],儿科是不是把输液当成了创收业务了,市长信箱,若若的就医者,2019-06-13,已回复,0/1635
[74646],[诉求],城市管理监督局不作为，投诉松动井盖发出异响仍不处理,市长信箱,山下人家,2019-06-12,已回复,0/1458
[74636],[举报],长洲区龙山C区周边重复违建，挑战法律尊严,市长信箱,龙山C区业主,2019-06-12,已回复,2/988
[74592],[建议],十四岭村泥路破烂,市长信箱,李伟飞,2019-06-11,已回复,0/846
[74555],[诉求],藤县宏达旺角新城消房管、消房箱问题,市长信箱,强人所难,2019-06-11,已回复,2/1317
[74541],[举报],投诉梧州市环保局不作为,市长信箱,无敌小宝宝,2019-06-10,已回复,1/1850
[74497],[诉求],旺城大学府小区门口放置多个垃圾桶严重影响住户生活,市长信箱,13471440717,2019-06-10,已回复,7/1548
[74403],[举报],龙山C区周边违建塌方进一步恶化危及通道与房屋安全,市长信箱,龙山C区老钟,2019-06-07,已回复,1/1384
[74311],[举报],小车桂D2A906违停公交站人行道上。,市长信箱,梧州老市民,2019-06-05,已回复,1/1170
[74301],[诉求],红岭1号强迫业主同意使用维修基金才给办不动产证,市长信箱,我爱梧州88888,2019-06-05,已回复,1/1654
[74281],[举报],桂江-温馨嘉园楼盘何时交楼？,市长信箱,羽你相约,2019-06-05,已回复,0/1395
[74277],[诉求],尽快恢复上三云路20-29号200多户居民通水,市长信箱,ying3386,2019-06-04,已回复,0/1096
[74273],[诉求],对红岭1号71295、72334答复再问政,市长信箱,我爱梧州88888,2019-06-04,已回复,1/1452
[74258],[诉求],红岭大厦移动信号奇差,市长信箱,20190604,2019-06-04,已回复,1/1115
[74257],[诉求],梧州市游泳馆开馆时间,市长信箱,20190604,2019-06-04,已回复,1/1445
[74234],[诉求],藤县的电网非常差,市长信箱,沈浪,2019-06-04,已回复,0/1510
[74191],[诉求],请求严查处理！城东镇松香工业园化工厂排放刺鼻气体！,市长信箱,小方,2019-06-03,已回复,0/1626
[74106],[诉求],“周六扶贫日”以后可以补休？？？,市长信箱,一碗粉,2019-06-02,已回复,0/6527
[74071],[诉求],公租房,市长信箱,lhrlgc,2019-06-01,已回复,0/1151
[73978],[举报],龙圩南宁百货商城长期摆放赌博游戏机,市长信箱,满血,2019-05-30,已回复,2/1484
[73715],[举报],麻烦查处无牌违停车辆,市长信箱,梧州老市民,2019-05-27,已回复,0/1507
[73692],[举报],狗狗犯何罪？,市长信箱,网文,2019-05-27,已回复,0/1229
[73603],[建议],死猪乱丢弃，建议有关部门调查处理,市长信箱,liaoxy,2019-05-25,已回复,0/1181
[73543],[举报],老码头广场露天音乐酒吧噪声扰民,市长信箱,噪声污染何时休,2019-05-24,已回复,4/2247
[73507],[举报],迎宾路皇朝福邸违建，私自圈围停车场,市长信箱,shs198312,2019-05-24,已受理,11/1932
[73453],[诉求],关于73348帖子的诉求,市长信箱,旺财沅沅,2019-05-23,已回复,0/988
[73320],[诉求],关于梧州学院北门旦冲路封路诉求,市长信箱,zhang562401163,2019-05-21,已回复,0/1632
[73304],[诉求],白线外的位置城投公司的人有权收费吗？,市长信箱,987654987654,2019-05-21,已回复,6/2112
[73213],[诉求],梧州市红岭一号二期又开始停电了,市长信箱,hailipote,2019-05-18,已回复,2/1841
[73012],[咨询],关于近期梧州出现大量死猪问题,市长信箱,sunw1,2019-05-15,已回复,3/4355
[72838],[诉求],梧州市龙圩镇凤岭街吉祥大厦不交房,市长信箱,714245,2019-05-11,已回复,1/1550
[72825],[诉求],枣冲廉租房小区出入道路被占道施工的原因,市长信箱,枣冲贫民,2019-05-11,已回复,1/1020
[72735],[举报],大量病死弃猪无人处理,市长信箱,小小队长,2019-05-09,已回复,0/2426
[72683],[举报],如此停车无人管，谁来管？！,市长信箱,朗日花园人,2019-05-08,已回复,0/1630
[72574],[诉求],岑溪市岑城镇寮田至马路镇福塘村道路硬化,市长信箱,我是马路人,2019-05-06,已回复,1/1602
[72548],[咨询],割破几十部车轮胎的人抓到了没？,市长信箱,奈何穆迷,2019-05-05,已回复,1/1588
[72386],[举报],第五次问长洲区政府不作为,市长信箱,Doraemon,2019-05-01,已回复,0/1541
[72225],[诉求],岑溪欣建国际二期10栋三单元出现严重的地基下沉和倾斜,市长信箱,迷失的蒲公英,2019-04-28,已回复,1/1361
[72201],[诉求],大正·峰景园9号楼是否会烂尾？,市长信箱,乜家伙,2019-04-28,已回复,1/1806
[72108],[举报],请问梧州市政府，为什么这个石场会是合法合规？,市长信箱,绿茵王子,2019-04-26,已回复,0/2855
[72093],[咨询],想问下今年梧州还会有演唱会吗？,市长信箱,songoten,2019-04-26,已回复,1/1808
[71980],[举报],继续诉求关于藤县新庆镇办理土地证未果相关事宜,市长信箱,卢凤,2019-04-24,已回复,0/1630
[71934],[诉求],为何龙圩区华光豪庭小区无法办理产权证,市长信箱,t1234,2019-04-23,已回复,1/8870
[71891],[诉求],路灯坏了，一直没人理,市长信箱,市民申诉,2019-04-23,已回复,1/1500
[71802],[举报],岑溪城区新装居民计量系统质量差,市长信箱,退休人,2019-04-21,已回复,0/1426
[71760],[举报],岑溪市波塘镇有保护伞保护石材加工厂非法强占耕地,市长信箱,蒲水生,2019-04-20,已受理,0/1332
[71694],[举报],请梧州市领导为我们主持公道！,市长信箱,沙头也有鸳鸯江,2019-04-19,已回复,1/2702
[71663],[诉求],大塘电厂旁每逢下雨积水恶臭,市长信箱,李秋艳,2019-04-18,已回复,1/1097
[71560],[举报],红岭片区毒气污染何时休？,市长信箱,广场舞扰民,2019-04-17,已回复,1/1309
[71438],[诉求],大正峰景园9号楼,市长信箱,乜家伙,2019-04-15,已回复,4/1651
[71363],[建议],老胡二手宝石机械交易霸道经营有人管吗？,市长信箱,梦境,2019-04-13,已回复,0/715
[71295],[咨询],红岭一号一期商品房工程验收情况,市长信箱,Nfh9966,2019-04-11,已回复,0/2045
[71201],[诉求],把美丽的苍海湖还给我们,市长信箱,cangwunihao,2019-04-09,已回复,0/1665
[71190],[诉求],外环路太和小学段交通安全隐患,市长信箱,影子108,2019-04-09,已回复,2/1614
[71157],[诉求],玫瑰湖恒祥豪苑装修车库油漆味臭气冲天,市长信箱,梧州狗头铡,2019-04-08,已回复,1/2029
[71022],[诉求],关于梧州七中宿舍停水的问题,市长信箱,13877498591,2019-04-03,已回复,1/958
[70958],[诉求],藤县一些单位要求哺乳期未满一年的女职工假期值班,市长信箱,cctvaa,2019-04-02,已回复,0/2012
[70889],[举报],丽港华府有人开始新违建,市长信箱,华府违建,2019-03-31,已回复,1/1725
[70887],[诉求],水田被夏郢镇泗马村委修路占用,市长信箱,15277410778,2019-03-31,已回复,1/1282
[70842],[举报],岑溪市鑫达驾校这个问题解决不了哦,市长信箱,胸怀祖国,2019-03-30,已回复,0/1346
[70821],[诉求],东泰红安小区商铺厕所堵塞,市长信箱,dysj,2019-03-29,已回复,0/1297
[70679],[诉求],韦拨群烈士纪念馆不能亵渎！,市长信箱,一分两味,2019-03-26,已回复,8/3640
[70571],[举报],岑溪道路脏差乱,市长信箱,石米路人N,2019-03-24,已回复,1/1628
[70495],[举报],岑溪实小幸福教育投资公司乱收费,市长信箱,zhengyirshi,2019-03-22,已回复,1/2525
[70492],[诉求],广西中恒房地产开发公司收钱后不签售房合同,市长信箱,simonwo,2019-03-22,已回复,0/12320
[70423],[诉求],关于归义镇泽仁物流城征收田地的问题2,市长信箱,阿延,2019-03-21,已回复,0/1952
[70388],[诉求],无人管小区,市长信箱,甘生,2019-03-20,已回复,0/1132
[70342],[举报],银湖南路26号（嘉多利小区）B幢违建抢建加建,市长信箱,jjjdddlll,2019-03-19,已回复,0/1523
[70293],[举报],不作为能为违法找理由么？,市长信箱,桂小梧,2019-03-18,已回复,0/1547
[69974],[诉求],审只电工证有感难吗,市长信箱,梁之锋,2019-03-12,已回复,0/1515
[69939],[诉求],请帮助协调解决红岭大厦职工停车问题,市长信箱,下雨时候,2019-03-11,已回复,2/1525
[69713],[举报],半山一品物业问题未得答复,市长信箱,吸血鬼,2019-03-06,已回复,0/1583
[69707],[诉求],中石油小区霸王条款要求业主收房,市长信箱,huangfeng005,2019-03-06,已回复,0/10304
[69688],[诉求],中国石油梧州商住小区纠纷问题,市长信箱,十日谈,2019-03-05,已回复,0/1398
[69681],[举报],岑溪鑫达驾校没人管了吗？,市长信箱,胸怀祖国,2019-03-05,已回复,0/1389
[69660],[举报],长洲区何时拆除已经批复拆除的违法建筑？？,市长信箱,桂小梧,2019-03-05,已回复,0/1690
[69493],[举报],岑溪市鑫达驾校没人管了吗？,市长信箱,胸怀祖国,2019-03-01,已回复,1/2459
[69446],[诉求],岑溪市欣建国际楼下KTV，吵得楼上居民无法入眠,市长信箱,岑溪市市民,2019-02-28,已回复,0/1596
[69405],[咨询],梧州桂江-温馨嘉园楼盘什么时候可以交楼？,市长信箱,梧州贫苦户,2019-02-27,已回复,1/2877
[69279],[举报],慢性病门诊治疗职工比居民报销等级高,市长信箱,退休人,2019-02-25,已回复,0/1841
[69256],[诉求],关于政府采购,市长信箱,wz321,2019-02-24,已回复,0/1951
[69234],[诉求],广场舞扰民,市长信箱,广场舞扰民,2019-02-23,已回复,0/918
[69123],[举报],水利局环保局看看你们的监管！,市长信箱,旱鸭子,2019-02-21,已回复,0/9972
[68989],[诉求],枣冲普通小区房屋楼顶漏水,市长信箱,你是我的小棉袄,2019-02-18,已回复,0/1458
[68871],[诉求],请求处理新利河段漂浮死猪及不明包装物,市长信箱,五仁月饼,2019-02-15,已回复,0/3255
[68822],[诉求],龙圩区大圆塘面包车明目张胆非法营运,市长信箱,痛心,2019-02-14,已回复,0/2393
[68789],[诉求],关于要求市住建委对海百公馆规划异议的答复,市长信箱,wxi,2019-02-13,已回复,0/1944
[68765],[诉求],拆迁补偿,市长信箱,wtt123.,2019-02-13,已回复,2/1924
[68745],[建议],必需要杀一杀农村中燃放烟花爆竹的竞赛行为了,市长信箱,lizhiye,2019-02-12,已回复,0/9286
[68713],[诉求],双拥广场每晚的音乐声太大。,市长信箱,小小书生,2019-02-11,已回复,0/1379
[68620],[其它],抓拍城建公交车乱停站,市长信箱,drtkue,2019-02-10,已回复,1/2749
[68619],[其它],梧州公交站问题(十四)&amp;公交车报站问题(八),市长信箱,drtkue,2019-02-10,已回复,0/1317
[68565],[举报],金辉车站停车场乱收费现象，收费员叫嚣，威胁收费,市长信箱,xyf19861228,2019-02-07,已回复,0/1147
[68552],[诉求],市长，你知道岑溪的现状吗？,市长信箱,江川大狼,2019-02-06,已回复,0/11317
[68520],[诉求],关于问政编号60420对政府的几点疑问,市长信箱,一阶布衣1,2019-02-04,已回复,1/1451
[68518],[举报],退休了居然还能在城区政府的单位继续上班,市长信箱,新兴心声,2019-02-03,已回复,4/1600
[68496],[举报],为何广西梧州合富花园交楼要给开发商1万元？,市长信箱,潘钰荣,2019-02-03,已回复,1/3644
[68360],[举报],到底归谁管，是哪个部门批准的,市长信箱,pajgj2018,2019-01-30,已回复,2/2053
[68359],[建议],玫瑰湖是姓公还是私,市长信箱,木棉花@,2019-01-30,已回复,0/2137
[68221],[建议],关于新开公交线路增设公交站点建议,市长信箱,13877403667,2019-01-26,已回复,0/8672
[68220],[建议],关于大酒店-梧州南站公交车增设停靠站点建议,市长信箱,南在南方,2019-01-26,已回复,0/946
[68207],[诉求],万秀区步埠路1至3号小吃街占道经营,市长信箱,步埠人,2019-01-25,已回复,0/690
[68158],[诉求],华融小区2期私设地锁,市长信箱,yiyi,2019-01-24,已回复,1/1638
[68141],[举报],用电安全,市长信箱,cy27114,2019-01-24,已回复,1/846
[68102],[诉求],烟花禁燃区划分是否合理？,市长信箱,于成龙333,2019-01-23,已回复,1/1503
[68036],[咨询],全国都在降利率，苍梧首套房子贷款利率为何上浮20%？,市长信箱,annieedi,2019-01-22,已回复,2/1272
[67922],[其它],城建公交问题,市长信箱,drtkue,2019-01-20,已回复,0/1270
[67777],[诉求],丰业新苑门口的道路乱停乱放1,市长信箱,茶点tea,2019-01-17,已回复,0/2344
[67762],[诉求],不能因为一个小区就停办全市业委会备案！,市长信箱,碧水云居,2019-01-16,已回复,0/1283
[67749],[诉求],梧州市原碳素厂产权问题,市长信箱,惠萍,2019-01-16,已回复,0/1311
[67739],[诉求],再问前期物业耍赖不退场政府难道没有办法监管！,市长信箱,飞翔吧,2019-01-16,已回复,1/2176
