编号,性质,标题,受理单位,作者,时间,状态,评论/点击
[85215],[举报],关于市政广场旁边担子粉扰民问题,书记信箱,库里,2020-02-03,已回复,5/2401
[85210],[诉求],社区人员变相成为新型冠状病毒的传播者,书记信箱,iltjy1,2020-02-03,未回复,1/2337
[85203],[举报],关于梧州彰泰售楼部疫情时段还正常上班的举报。,书记信箱,Asd4516501,2020-02-02,已回复,0/1044
[85197],[诉求],安装并使用,书记信箱,lhrlgc,2020-02-02,已回复,0/668
[85195],[举报],有宵夜店有堂食现象！有图有证据！！,书记信箱,梧州段正淳,2020-02-01,已受理,0/927
[85191],[诉求],环境卫生,书记信箱,练海燕,2020-02-01,已回复,0/543
[85178],[诉求],宝巾花展标志的征集活动为啥不兑现奖金发放,书记信箱,Smile231208,2020-02-01,已回复,0/405
[85176],[诉求],请监督居民和经营人员务必戴口罩,书记信箱,梧州狮卧山2,2020-02-01,已回复,0/295
[85171],[诉求],兴隆花园环境卫生疫情防控成死角,书记信箱,寒雨烟,2020-01-31,已回复,0/167
[85161],[举报],农村电力线路乱拉，实在太危险,书记信箱,ss8hh,2020-01-31,已受理,0/1198
[85147],[举报],关于政府投放口罩,书记信箱,奇睿,2020-01-30,已回复,0/302
[85139],[诉求],邻居养鸡严重影响了我生活我该怎么办？,书记信箱,playboy,2020-01-30,已受理,0/165
[85115],[咨询],请问市内药店什么时候有医用防护口罩,书记信箱,越努力越幸运,2020-01-28,已回复,0/137
[85096],[诉求],疫情下如何落实防控措施？,书记信箱,xumeijia132,2020-01-27,已回复,0/104
[85083],[举报],如题，扰民算谁,书记信箱,扰民算谁的,2020-01-27,已回复,0/263
[85077],[举报],低保户申请,书记信箱,huang123,2020-01-26,已回复,0/543
[85075],[咨询],抗冠状病毒高中提前开学是否危险？,书记信箱,huweihong.1953,2020-01-26,已回复,0/193
[85073],[建议],一级响应了，为何商场之类还营业,书记信箱,123230660,2020-01-26,已回复,0/696
[85065],[诉求],苍梧特岗老师和在编老师差别很大,书记信箱,15677168020,2020-01-25,已回复,0/302
[85062],[其它],春节期间各大商场人流量激增,书记信箱,cosmos,2020-01-25,未回复,0/88
[85059],[诉求],新型肺炎,书记信箱,惺惺相惜,2020-01-25,已回复,0/203
[85050],[建议],建议近期严禁举办上灯酒席和有关需聚集活动,书记信箱,小康康,2020-01-25,已受理,0/87
[85048],[举报],梧州酒吧为何未停业,书记信箱,Lon,2020-01-25,已回复,0/621
[85045],[举报],娛樂場所不停業,书记信箱,Lon,2020-01-25,已回复,0/431
[85040],[举报],误导乘客的公共交通,书记信箱,頋北笙歌寒,2020-01-24,已受理,0/100
[85034],[诉求],诉求：请严格篩查,书记信箱,ysl1122,2020-01-24,已受理,0/82
[85028],[举报],苍梧梨埠马进村自来水管烂没人来维修,书记信箱,与你同乐,2020-01-24,已回复,0/78
[85027],[举报],口罩坐地起价，发国难财,书记信箱,梧州我爱你,2020-01-23,已回复,0/124
[85012],[举报],新兴三路劳动局三楼门口的取票员服务态度极差,书记信箱,桂D99999,2020-01-23,已回复,0/3231
[85000],[建议],洒水车夜间作业,书记信箱,Emmmmmmmm,2020-01-22,已回复,0/492
[84974],[建议],建议改进洒水车洒水方式，减少扰民,书记信箱,民声,2020-01-22,已回复,1/842
[84953],[诉求],名邦学府迟迟不退还款,书记信箱,jx0025,2020-01-21,已回复,0/2123
[84935],[诉求],第三次投诉了，问题还是没有解决,书记信箱,市民！加油,2020-01-20,已受理,0/1415
[84931],[诉求],市直单位合同工解聘赔偿,书记信箱,咩咩,2020-01-20,已回复,2/1923
[84874],[诉求],东胜酒店后厨噪音大影响休息,书记信箱,我是小白吃,2020-01-19,已回复,0/1355
[84870],[举报],小区楼下开设酒吧晚晚扰民,书记信箱,favenl,2020-01-19,已受理,0/799
[84862],[咨询],传统文化的消失,书记信箱,624570719,2020-01-18,已回复,1/310
[84835],[举报],举报龙圩区政府懒政不作为15天未落实群众问政,书记信箱,突击队,2020-01-17,已受理,0/698
[84827],[举报],居民楼内经营KTV是否符合规定,书记信箱,路人的马甲,2020-01-17,已回复,0/370
[84819],[举报],举报这些车辆的道路违法行为,书记信箱,摩行骑者,2020-01-17,已回复,0/838
[84803],[举报],岑溪三堡镇网吧允许未成年人进入,书记信箱,问题少年的母亲,2020-01-16,已受理,0/1107
[84801],[诉求],梧州龙圩区水岸名都二期不交房,书记信箱,陈cc,2020-01-16,已回复,0/571
[84760],[咨询],太小五一班的班主任没有填学生手册就发回来,书记信箱,传祺,2020-01-15,已受理,1/891
[84755],[诉求],我不应该被罚款,书记信箱,禅师,2020-01-15,已回复,0/1200
[84739],[举报],占人行道、公共停车位经营,书记信箱,只爱绿茶,2020-01-15,已回复,0/529
[84714],[诉求],龙圩区华光豪庭小区要求增划摩托车停车位的诉求,书记信箱,水上漂一号,2020-01-14,已回复,0/674
[84707],[诉求],油烟扰民何时解决？,书记信箱,laomao,2020-01-14,已回复,1/684
[84701],[举报],一代天城违建非常严重，花园成为了私家庭院,书记信箱,rmqz001,2020-01-14,已回复,0/565
[84700],[举报],关于环境卫生问题的投诉,书记信箱,零不是距离,2020-01-14,已回复,0/455
[84677],[举报],岑溪的小轿车年审乱收费,书记信箱,岑溪市人,2020-01-14,已受理,0/592
[84672],[诉求],学习与发展,书记信箱,lhrlgc,2020-01-14,已回复,0/212
[84634],[咨询],梧高东侧道路什么时候亮路灯？,书记信箱,笑傲西江,2020-01-13,已回复,0/556
[84633],[举报],什么样的审批可以让半山豪庭通宵施工,书记信箱,红岭环保人士,2020-01-13,已回复,0/459
[84610],[诉求],关于申请复查的问题,书记信箱,2019aaa,2020-01-12,已回复,0/252
[84604],[建议],龙圩碧水云居小区臭水沟,书记信箱,你你你就是你,2020-01-12,已回复,0/166
[84594],[举报],旺城广场露天垃圾场卫生环境及噪音扰民,书记信箱,莫以为奇,2020-01-11,已回复,0/265
[84592],[诉求],中铁一局施工是否不需要顾及市民的出行,书记信箱,頋北笙歌寒,2020-01-11,已受理,0/294
[84582],[举报],新兴三路凌晨三轮车震耳欲聋,书记信箱,258039034,2020-01-11,已回复,0/158
[84578],[举报],还是关于岑溪市诚谏镇整改街道,书记信箱,一小蚁民,2020-01-11,已受理,0/190
[84565],[诉求],如何进一步完善、落实留用地政策？,书记信箱,瓶瓶罐罐,2020-01-10,已回复,0/139
[84555],[诉求],贫困户帮扶问题,书记信箱,雨中漫步,2020-01-10,已回复,2/1297
[84532],[举报],露天采石、碎石场扬尘、噪音扰民,书记信箱,蒙冲蚁民,2020-01-10,已受理,0/626
[84531],[举报],关于富民小区路口处圆通公司快递车乱停影响行车安全,书记信箱,老啄木鸟,2020-01-10,已回复,0/165
[84527],[诉求],关于投诉位于龙山路B座23号虾虾霸霸炉头抽风机的问政,书记信箱,市民！加油,2020-01-10,已回复,2/659
[84515],[诉求],梧州取水点上移工程管理欠科学，引发车祸事故多,书记信箱,瓶瓶罐罐,2020-01-09,已受理,0/308
[84512],[举报],污染,书记信箱,骆雁,2020-01-09,已受理,2/358
[84505],[举报],三云豪庭售楼部日夜扰民,书记信箱,龙园,2020-01-09,已回复,0/576
[84500],[建议],农村不让放鞭炮，那过年还有啥意思？,书记信箱,119767334,2020-01-09,已回复,0/1551
[84499],[举报],上三云棚户区改造路灯是烂尾工程？,书记信箱,龙园,2020-01-09,已回复,0/2656
[84486],[举报],宵夜店严重扰民,书记信箱,半夜严重扰民,2020-01-08,已回复,0/363
[84477],[举报],盘龙名豪花苑楼下商铺影响正常休息时间,书记信箱,我是小白吃,2020-01-08,已回复,0/1996
[84473],[咨询],梧州逸泉公园,书记信箱,一声呼唤,2020-01-08,已受理,1/569
[84465],[建议],梧州道路车流情况领人堪忧,书记信箱,yxj8382,2020-01-08,已回复,8/660
[84451],[咨询],交公粮补贴试验区是否真实,书记信箱,山南南山路,2020-01-08,已回复,0/729
[84441],[诉求],83634问政至今尚未回复,书记信箱,风过,2020-01-07,已回复,0/344
[84440],[诉求],上三云路三云豪庭施工扰民,书记信箱,龙园,2020-01-07,已回复,0/315
[84416],[诉求],相关部门对编号82152问题敷衍答复,书记信箱,龙园,2020-01-07,已回复,0/504
[84413],[举报],一代天城消防安全问题,书记信箱,正义业主,2020-01-07,已受理,0/185
[84411],[举报],关于红岭片区夜间刺鼻气味的举报,书记信箱,老啄木鸟,2020-01-07,已受理,0/527
[84401],[诉求],关于城东镇河口村中心组道路施工房屋受损问题,书记信箱,陈练希,2020-01-07,已回复,0/377
[84395],[诉求],物业的野蛮作为,书记信箱,戴国恒,2020-01-06,已回复,0/827
[84393],[诉求],安全隐患藤县191县道天平镇龙胜至塘冲渡口,书记信箱,谢典桓,2020-01-06,已回复,1/227
[84388],[诉求],龙墟城区的水压不足的问题何时才能解决？,书记信箱,桂江水流,2020-01-06,已回复,0/208
[84385],[咨询],京梧市场附近路边黑白车位有什么区别,书记信箱,晓孝健易,2020-01-06,已回复,1/1585
[84377],[诉求],关于欣建国际开发商为提高房价隐瞒土地规划的问题,书记信箱,忘了爱,2020-01-06,已受理,2/244
[84374],[诉求],回春连锁不退售出的快过期的布洛芬混悬液,书记信箱,woshiwonihao,2020-01-06,已受理,0/163
[84357],[举报],小区无证KTV扰民，楼上业主无法入睡。,书记信箱,海纳百川001,2020-01-06,已回复,0/683
[84356],[诉求],中恒体育场外驾校车辆堵路严重！！！,书记信箱,南极星,2020-01-06,已受理,1/459
[84355],[诉求],装果车故意占满整个乡道，用果框全部拦起乡道不让走,书记信箱,你们都是大爷,2020-01-06,已回复,1/749
[84354],[诉求],玫瑰湖恒祥豪苑周边停车乱堵塞车库出口,书记信箱,南极星,2020-01-06,已回复,0/566
[84349],[诉求],建议在红岭青少年妇女儿童活动中心设立车辆闸道的建议,书记信箱,老啄木鸟,2020-01-06,已受理,1/419
[84348],[建议],建议加快完善红岭片区绿化美化,书记信箱,老啄木鸟,2020-01-06,已受理,0/745
[84347],[建议],建议开通三祺城上汇嘉超市公交车的建议,书记信箱,老啄木鸟,2020-01-06,已回复,0/930
[84346],[诉求],梧州市公积金中心：办事办成“马拉松”,书记信箱,人人喜洋洋,2020-01-06,已回复,2/773
[84344],[诉求],新兴二路95-1号的化粪池堵塞臭水外流一月多,书记信箱,梧桐州,2020-01-06,已回复,0/376
[84338],[建议],关于我市共享电动自行车的问题,书记信箱,zengjie7015,2020-01-05,已受理,0/492
[84332],[举报],龙圩区政贤路的机动车道划线不完整,书记信箱,23xy,2020-01-05,已回复,0/372
[84331],[咨询],助力车被拉了怎么要回来啊,书记信箱,其实很简单,2020-01-05,已回复,1/636
[84310],[诉求],81749公安局的敷衍答复表示失望，望彻查再答复,书记信箱,民生问政,2020-01-04,已受理,0/609
[84309],[咨询],是否合法有效,书记信箱,热心业主,2020-01-04,已回复,0/657
[84303],[诉求],梧州学院富民三路,书记信箱,ABC892833,2020-01-04,已回复,0/417
[84300],[建议],梧州红绿灯建议,书记信箱,ABC892833,2020-01-04,已回复,0/377
[84299],[诉求],何时真正还路于民？！,书记信箱,熙熙老师,2020-01-04,已回复,0/349
[84293],[诉求],摩托车在南站如何停车进站,书记信箱,口袋里的关,2020-01-04,已回复,1/303
[84288],[诉求],修路乱象,书记信箱,xumeijia132,2020-01-04,已回复,0/150
[84277],[诉求],老人在人行道施工区域被线拌倒，只能自认倒霉？,书记信箱,民生问政,2020-01-04,已回复,0/488
[84268],[诉求],绩效增量,书记信箱,秦汉思源,2020-01-03,已回复,1/579
[84241],[举报],违法建筑真的这么难拆除吗？或另有“”隐情“”,书记信箱,梧州城市猎人,2020-01-03,已回复,0/1602
[84158],[诉求],医保,书记信箱,.......,2020-01-03,已回复,0/119
[84156],[举报],梧州市区最窄人行道，出现在泰基巴黎春天小区大门口,书记信箱,JOVN,2020-01-03,已回复,1/1351
[84143],[咨询],车辆乱摆乱放,书记信箱,小雨点123,2020-01-03,已回复,0/662
[84114],[诉求],321国道为何这么烂？,书记信箱,晓孝健易,2020-01-02,已回复,0/864
[84101],[举报],龙山路华融花园二区对面融融美食店太扰民！,书记信箱,梧州段正淳,2020-01-02,已回复,2/544
[84098],[举报],梧州市新夏中学门口沙石场影响学生上课，居民休息。,书记信箱,周星驰2019,2020-01-01,已回复,2/749
[84081],[举报],问政一个半月，为何仍未回复,书记信箱,梧州市民12345,2020-01-01,已回复,0/311
[84080],[举报],妇幼医院迟迟不出病理结果,书记信箱,偶买噶,2020-01-01,已回复,0/299
[84064],[诉求],为何大圆塘租金这么贵,书记信箱,神之右手,2019-12-31,已回复,0/374
[84015],[咨询],我们要问：,书记信箱,潘塘景色,2019-12-31,已回复,0/936
[83994],[诉求],关于编号83695的诉求,书记信箱,市民！加油,2019-12-30,已回复,0/1079
[83992],[诉求],红岭北一岭4级5级房屋开裂，倾斜。,书记信箱,liushmily,2019-12-30,已回复,0/825
[83991],[举报],无耐之举，仍窝藏在居民楼的宝石加工噪音打民。,书记信箱,wzhn,2019-12-30,已回复,0/132
[83973],[建议],新兴一路中间绿化带太挡视线了,书记信箱,布纳哈本原桶,2019-12-30,已受理,1/629
[83953],[诉求],梧州市区最暗的巷子,书记信箱,富兴财子,2019-12-30,已回复,0/618
[83948],[举报],西环路中晟市场红木家具店广播扰民,书记信箱,9207,2019-12-30,已回复,2/748
[83942],[诉求],梧州市奥奇丽路8-1号开发商侵害业主权益,书记信箱,西江小肥鱼,2019-12-29,已回复,3/391
[83940],[咨询],关于苍梧县回收2018年度事业单位绩效工资增量的问题,书记信箱,超级赛车,2019-12-29,已回复,0/511
[83932],[诉求],泰基巴黎春天小区泰安物业擅自对物业费进行涨价,书记信箱,知情者爆料,2019-12-29,已回复,0/1309
[83926],[举报],人寿岑溪公司不执行桂政办发文件(续),书记信箱,退休人,2019-12-29,已回复,0/645
[83911],[举报],关于整改街道,书记信箱,一小蚁民,2019-12-29,已受理,0/189
[83888],[诉求],新兴二路太阳广场路段灰尘滚滚,书记信箱,xumeijia132,2019-12-28,已回复,0/201
[83853],[诉求],藤县河西河堤乱摆乱卖,书记信箱,胡歌,2019-12-27,已回复,0/218
[83845],[举报],聚福茗城违章建筑,书记信箱,力争上游,2019-12-27,已回复,0/230
[83843],[诉求],西江四桥桥底（原南粤门口）通道是否可以加宽点,书记信箱,lupao007,2019-12-27,已受理,0/351
[83838],[建议],新兴珠宝路段,书记信箱,ABC892833,2019-12-27,已回复,0/225
[83837],[建议],新建公交车站没有灯光指示,书记信箱,ABC892833,2019-12-26,已回复,0/208
[83824],[诉求],请问全书记，蓝天港湾小区内，楼顶违建何时拆？,书记信箱,龙圩区住户,2019-12-26,已回复,0/555
[83822],[诉求],时代花园城质量问题,书记信箱,等距离,2019-12-26,已回复,0/601
[83807],[诉求],果树被砍，报案快一年了，杳无音信,书记信箱,txdrz,2019-12-26,已回复,0/318
[83796],[咨询],西江三桥四桥命名确定了吗？,书记信箱,晓孝健易,2019-12-25,已回复,0/727
[83788],[诉求],梧州市长洲区环境卫生服务站收取商铺垃圾费是否合法合理,书记信箱,日月1213,2019-12-25,已回复,0/276
[83786],[诉求],真的要拆迁户流泪又流血???,书记信箱,我系市民,2019-12-25,已回复,0/666
[83784],[诉求],是谁动了转业士官的编制诉求,书记信箱,转业士官,2019-12-25,已受理,2/610
[83772],[诉求],噪音,书记信箱,只想笑,2019-12-25,已回复,0/234
[83770],[举报],私窦每天凌晨噪音扰民,书记信箱,小盼草,2019-12-25,已回复,0/275
[83767],[举报],给予市住建局龟速工作作风效率差评！,书记信箱,突击队,2019-12-25,已回复,2/3474
[83766],[建议],岑溪大桥红绿灯,书记信箱,吃瓜群众演员,2019-12-24,已受理,0/236
[83741],[诉求],位于龙圩聚龙广场边上违停问题,书记信箱,李李在李李,2019-12-24,已回复,1/368
[83737],[举报],龙山路华融花园二区对面融融美食店噪音扰民,书记信箱,梧州段正淳,2019-12-24,已回复,3/316
[83728],[举报],藤县和平镇私搭帐篷无证经营餐饮服务谋利,书记信箱,沙雕,2019-12-23,已回复,0/241
[83727],[诉求],没经处理的排放影响到我们的生活了,书记信箱,黄小小,2019-12-23,已回复,0/223
[83716],[建议],关于沙井盖问题,书记信箱,梁驱,2019-12-23,已回复,0/208
[83706],[诉求],无证经营拖欠工程款及工资,书记信箱,莫斯露,2019-12-23,已回复,0/366
[83705],[举报],停放在桂江一桥附近车辆因粉刷被污染！清理费用谁负责！,书记信箱,何老师,2019-12-23,已回复,0/449
[83704],[诉求],关于丰业花园给水改造水厂报价,书记信箱,陈永光,2019-12-23,已回复,2/400
[83695],[举报],龙山路25号四单元楼下的“虾虾霸霸”抽烟机嘈音问题,书记信箱,市民！加油,2019-12-23,已回复,1/254
[83686],[举报],投诉,书记信箱,w555182,2019-12-23,已回复,0/449
[83683],[举报],教师的绩效问题,书记信箱,我是新手,2019-12-22,已回复,0/2970
[83665],[举报],油烟直接排放到街道,书记信箱,路人的马甲,2019-12-21,已回复,0/142
[83657],[咨询],新兴三路梦之岛路口已经修好，干嘛还要重新弄人行道呢？,书记信箱,ABC892833,2019-12-21,已回复,0/309
[83642],[诉求],修路噪音,书记信箱,xumeijia132,2019-12-21,已回复,0/127
[83641],[诉求],星朗名都楼下0774酒吧长期噪音扰民,书记信箱,18177403272,2019-12-20,已回复,0/159
[83640],[建议],老弱病残盼&quot;过街按纽&quot;,书记信箱,蚁民2011,2019-12-20,已回复,0/126
[83634],[诉求],中国移动梧州分公司不作为,书记信箱,风过,2019-12-20,已回复,0/187
[83624],[咨询],网贷问题,书记信箱,QQQA,2019-12-20,已回复,0/278
[83623],[举报],黄埔双语实验学校饭菜难吃还贵,书记信箱,酱酱,2019-12-20,已回复,2/415
[83616],[诉求],咨询办证怎么那么难？,书记信箱,威水哥,2019-12-20,已回复,0/135
[83612],[建议],建议增加红岭小学周边洒水工作,书记信箱,老啄木鸟,2019-12-20,已回复,0/144
[83611],[举报],是否可以摆摊,书记信箱,1181002453,2019-12-20,已回复,0/142
[83610],[诉求],关于启用红岭小学公交站的诉求,书记信箱,老啄木鸟,2019-12-20,已受理,0/199
[83603],[诉求],关于前去报诈骗案至今未受理的诉求,书记信箱,Qaz2019,2019-12-20,已回复,1/507
[83597],[举报],公交车司机大部分都不让人,书记信箱,ABC892833,2019-12-19,已回复,0/501
[83595],[建议],梧州学院富民三路段,书记信箱,ABC892833,2019-12-19,已回复,0/360
[83589],[诉求],建议将7路线延伸到梧州火车站,书记信箱,what,2019-12-19,已受理,0/395
[83576],[诉求],多问一下----旺城广场检测报告之二,书记信箱,wczy1,2019-12-19,已回复,0/349
[83558],[诉求],社保缴费,账户余额,社保各种明细,书记信箱,坦坦荡荡,2019-12-19
[83555],[诉求],为什么现在翻新的道路行人道都没有路灯,书记信箱,what,2019-12-19,已回复,0/390
[83553],[举报],果树被砍，明知是谁所为，却迟迟未见处理,书记信箱,jzhl村民,2019-12-19,已受理,0/262
[83547],[建议],完善梧州南站客运综合枢纽站设施刻不容缓,书记信箱,what,2019-12-19,已回复,0/493
[83544],[建议],步埠路长期塞车问题,书记信箱,ABC892833,2019-12-18,已回复,0/253
[83543],[举报],神冠豪都新兴珠宝路段长期违停小车甚多,书记信箱,ABC892833,2019-12-18,已回复,0/256
[83507],[举报],就编号：82318问政长洲区发言人的回复有话要说,书记信箱,蚂蚁的呐喊,2019-12-18,已回复,0/1239
[83499],[诉求],四中噪音污染,书记信箱,黄财,2019-12-18,已回复,0/239
[83486],[诉求],如何应聘街道停车位登记收费员？,书记信箱,小梁同学,2019-12-17,已回复,0/274
[83484],[诉求],梧州共享单车，共享电车,书记信箱,ABC892833,2019-12-17,已回复,0/285
[83483],[建议],西环路改造升级建议,书记信箱,ABC892833,2019-12-17,已回复,0/264
[83458],[诉求],四中学校扰民噪音污染,书记信箱,黄财,2019-12-17,已回复,0/209
[83453],[诉求],多问一下----旺城广场检测报告之一,书记信箱,wczy1,2019-12-17,已回复,0/158
[83449],[建议],刚搞好的路面没多久就坏了，这个有没有部门去监督？,书记信箱,ws1498,2019-12-17,已回复,1/274
[83434],[诉求],小区脏乱差,书记信箱,psycho,2019-12-16,已回复,0/178
[83431],[诉求],关于塘源路毁坏严重的问题,书记信箱,青山绿水美,2019-12-16,已回复,0/154
[83427],[诉求],真的要拆迁户流泪又流血???,书记信箱,我系市民,2019-12-16,已回复,0/347
[83425],[举报],老人在电梯摔倒该由谁负责,书记信箱,Wuguangyin,2019-12-16,已回复,0/598
[83401],[举报],藤县茶亭序奶茶店违规占道经营制造噪音,书记信箱,茶亭序奶茶店,2019-12-15,已回复,0/358
[83400],[咨询],对公租房申请条件的疑惑,书记信箱,suyonghua,2019-12-15,已回复,0/447
[83397],[举报],编号：82499,有人回答吗？一个月都不处理,书记信箱,小梁同学,2019-12-15,已回复
[83385],[诉求],深夜狗声扰民，溜狗不带狗绳、狗套,书记信箱,Myh雅怡,2019-12-15,已回复,0/279
[83376],[诉求],四中校园高音喇叭扰民何时了？,书记信箱,广新故事,2019-12-15,已回复,1/363
[83355],[举报],长洲寺冲三组工场已标为危房，为何不拆除？,书记信箱,提问梧州,2019-12-14,已回复,0/192
[83350],[其它],就想点个赞,书记信箱,dong899788,2019-12-14,已回复,0/443
[83328],[举报],扰民，污染小区环境,书记信箱,岑小雨,2019-12-14,已受理,0/133
[83322],[咨询],关于拖摩托车问题,书记信箱,李李在李李,2019-12-14,已回复,0/292
[83319],[诉求],红岭臭气最严重的一年快过完了,书记信箱,市井閒人,2019-12-14,已回复,0/237
[83308],[诉求],时代花园城同信物业管理的失职,书记信箱,归去来,2019-12-13,已回复,1/749
[83305],[诉求],物价局该取消了,书记信箱,大坡山,2019-12-13,已回复,0/791
[83304],[建议],梧州有没有考虑规划建设第二第三个钢铁基地项目？,书记信箱,西江黄金水道,2019-12-13,已受理,1/1524
[83301],[举报],吉塘路小车违停现象,书记信箱,ABC892833,2019-12-13,已回复,0/308
[83300],[建议],红绿灯问题,书记信箱,ABC892833,2019-12-13,已回复,0/316
[83277],[咨询],梧州高速公路征地补偿费问题,书记信箱,黄剑锋,2019-12-13,已回复,0/316
[83243],[诉求],只想要个明确答复---六问旺城广场检测报告,书记信箱,wczy1,2019-12-12,已回复,0/468
[83227],[举报],岑溪车辆乱停乱放,书记信箱,此用户已存在,2019-12-12,已受理,1/366
[83221],[举报],侵权非法征地，恶意殴打我村村民,书记信箱,石培妮,2019-12-12,已回复,0/4450
[83219],[诉求],再次投诉龙山路宵夜档嘈音问题,书记信箱,市民！加油,2019-12-12,已回复,0/220
[83210],[诉求],81832号问政一个多月无答复,书记信箱,黄华河儿女,2019-12-12,已回复,0/193
[83207],[举报],龙山路扰民宵夜店实在是太影响居民休息！,书记信箱,梧州段正淳,2019-12-12,已回复,0/286
[83206],[举报],如何解决噪音扰民、空气污染问题,书记信箱,坚坚嘢,2019-12-12,已回复,0/171
